Customer ID,Full Name,Date of Purchase,Age,State,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer Churn Status,Reasons for Churn,Subscription Plan_encoded,tenure_x_Data Usage,charge_per_usage,Age_binned
CUST0010,Halima Ochoa,Mar-25,23,Imo,4G Router,Male,1,Poor,6,10GB+10mins Monthly Plan,4500,20,90000,53.38,No,,2,320.28000000000003,1655.0202280250091,Very Young
CUST0010,Halima Ochoa,Mar-25,23,Imo,Broadband MiFi,Male,1,Poor,6,60GB Monthly Broadband Plan,14500,18,261000,192.89,No,,18,1157.34,1346.1240909794215,Very Young
CUST0010,Halima Ochoa,Mar-25,23,Imo,Mobile SIM Card,Male,1,Poor,6,500MB Daily Plan,350,13,4550,142.73,No,,17,856.3799999999999,31.656578306547,Very Young
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,4G Router,Female,2,Fair,8,65GB Monthly Plan,16000,2,32000,14.66,Yes,Poor Network,19,117.28,2043.4227330779054,Senior
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,5G Broadband Router,Female,2,Fair,8,60GB Monthly Broadband Plan,14500,2,29000,13.95,Yes,Poor Network,18,111.6,1939.799331103679,Senior
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,Broadband MiFi,Female,2,Fair,8,300GB FUP Monthly Unlimited,30000,8,240000,14.64,Yes,Poor Network,14,117.12,15345.268542199488,Senior
CUST0012,Zainab Morton,Mar-25,78,Ondo,4G Router,Male,2,Fair,47,65GB Monthly Plan,16000,12,192000,131.97,No,,19,6202.59,1443.934722117771,Senior
CUST0012,Zainab Morton,Mar-25,78,Ondo,Broadband MiFi,Male,2,Fair,47,60GB Monthly Broadband Plan,14500,2,29000,82.51,No,,18,3877.9700000000003,347.26380074242604,Senior
CUST0013,Ngozi Moreno,Jan-25,23,Kebbi,4G Router,Female,2,Fair,52,10GB+10mins Monthly Plan,4500,8,36000,56.07,Yes,Relocation,2,2915.64,630.8042754512003,Very Young
CUST0013,Ngozi Moreno,Jan-25,23,Kebbi,Mobile SIM Card,Female,2,Fair,52,3.2GB 2-Day Plan,1000,18,18000,88.9,Yes,Relocation,13,4622.8,200.22246941045606,Very Young
CUST0014,Ngozi Crawford,Feb-25,22,Adamawa,4G Router,Male,2,Fair,6,65GB Monthly Plan,16000,1,16000,33.35,No,,19,200.10000000000002,465.7933042212518,Very Young
CUST0014,Ngozi Crawford,Feb-25,22,Adamawa,Mobile SIM Card,Male,2,Fair,6,20GB Monthly Plan,7500,15,112500,53.41,No,,11,320.46,2067.63462598787,Very Young
CUST0015,Abubakar Garner,Mar-25,70,Yobe,Broadband MiFi,Male,2,Fair,13,30GB Monthly Broadband Plan,9000,16,144000,10.5,No,,15,136.5,12521.739130434782,Senior
CUST0015,Abubakar Garner,Mar-25,70,Yobe,5G Broadband Router,Male,2,Fair,13,300GB FUP Monthly Unlimited,30000,17,510000,11.85,No,,14,154.04999999999998,39688.715953307394,Senior
CUST0015,Abubakar Garner,Mar-25,70,Yobe,4G Router,Male,2,Fair,13,65GB Monthly Plan,16000,3,48000,170.34,No,,19,2214.42,280.144741449749,Senior
CUST0016,Kunle Ford,Feb-25,46,Kebbi,Broadband MiFi,Male,5,Excellent,57,300GB FUP Monthly Unlimited,30000,11,330000,41.25,No,,14,2351.25,7810.650887573965,Middle
CUST0016,Kunle Ford,Feb-25,46,Kebbi,4G Router,Male,5,Excellent,57,10GB+10mins Monthly Plan,4500,5,22500,53.49,No,,2,3048.9300000000003,412.91980179849514,Middle
CUST0016,Kunle Ford,Feb-25,46,Kebbi,5G Broadband Router,Male,5,Excellent,57,120GB Monthly Broadband Plan,24000,3,72000,91.72,No,,4,5228.04,776.5314926660915,Middle
CUST0017,Tunde Hayes,Feb-25,74,Anambra,4G Router,Male,5,Excellent,35,25GB Monthly Plan,9000,15,135000,57.35,Yes,Costly Data Plans,12,2007.25,2313.624678663239,Senior
CUST0018,David Fletcher,Mar-25,54,Bauchi,5G Broadband Router,Male,1,Poor,43,150GB FUP Monthly Unlimited,20000,18,360000,178.0,No,,5,7654.0,2011.173184357542,Middle
CUST0019,Obinna Wright,Mar-25,50,Cross River,Mobile SIM Card,Male,2,Fair,46,2.5GB 2-Day Plan,900,14,12600,18.91,No,,9,869.86,632.8478151682572,Middle
CUST0019,Obinna Wright,Mar-25,50,Cross River,4G Router,Male,2,Fair,46,25GB Monthly Plan,9000,11,99000,9.3,No,,12,427.8,9611.650485436892,Middle
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),4G Router,Female,5,Excellent,36,25GB Monthly Plan,9000,5,45000,116.71,Yes,Poor Network,12,4201.5599999999995,382.2954719225215,Middle
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),5G Broadband Router,Female,5,Excellent,36,450GB 3-Month Broadband Plan,75000,10,750000,25.93,Yes,Poor Network,16,933.48,27849.98143334571,Middle
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),Broadband MiFi,Female,5,Excellent,36,300GB FUP Monthly Unlimited,30000,2,60000,179.85,Yes,Poor Network,14,6474.599999999999,331.7666574509262,Middle
CUST0021,Oghene Brown,Mar-25,42,Imo,Mobile SIM Card,Male,5,Excellent,23,10GB+10mins Monthly Plan,4500,1,4500,176.34,No,,2,4055.82,25.37498590278561,Middle
CUST0022,Shehu Ferguson,Feb-25,58,Kogi,Mobile SIM Card,Male,1,Poor,18,500MB Daily Plan,350,15,5250,40.31,No,,17,725.58,127.0878721859114,Mature
CUST0023,Oghene Vazquez,Feb-25,55,Osun,5G Broadband Router,Male,4,Very Good,2,200GB Monthly Broadband Plan,25000,13,325000,128.48,No,,10,256.96,2510.0401606425703,Mature
CUST0024,David Johnson,Mar-25,58,Kano,Broadband MiFi,Male,2,Fair,57,120GB Monthly Broadband Plan,24000,11,264000,87.2,No,,4,4970.400000000001,2993.1972789115644,Mature
CUST0024,David Johnson,Mar-25,58,Kano,Mobile SIM Card,Male,2,Fair,57,20GB Monthly Plan,7500,17,127500,121.44,No,,11,6922.08,1041.3263639333552,Mature
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,4G Router,Female,1,Poor,3,65GB Monthly Plan,16000,11,176000,189.8,No,,19,569.4000000000001,922.4318658280922,Mature
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,Mobile SIM Card,Female,1,Poor,3,7GB Monthly Plan,3500,4,14000,132.85,No,,20,398.54999999999995,104.59469555472545,Mature
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,5G Broadband Router,Female,1,Poor,3,120GB Monthly Broadband Plan,24000,14,336000,101.67,No,,4,305.01,3272.621018798091,Mature
CUST0026,Ese Simmons,Mar-25,67,Cross River,5G Broadband Router,Male,4,Very Good,13,450GB 3-Month Broadband Plan,75000,1,75000,109.81,No,,16,1427.53,676.8342207382005,Mature
CUST0027,Maryam Reyes,Mar-25,52,Ondo,4G Router,Female,4,Very Good,51,10GB+10mins Monthly Plan,4500,10,45000,131.94,No,,2,6728.94,338.4985707838122,Middle
CUST0027,Maryam Reyes,Mar-25,52,Ondo,5G Broadband Router,Female,4,Very Good,51,200GB Monthly Broadband Plan,25000,8,200000,19.13,No,,10,975.63,9935.419771485345,Middle
CUST0027,Maryam Reyes,Mar-25,52,Ondo,Mobile SIM Card,Female,4,Very Good,51,1GB+1.5mins Daily Plan,500,7,3500,45.32,No,,8,2311.32,75.56131260794473,Middle
CUST0028,Obinna Sanchez,Jan-25,19,Rivers,Mobile SIM Card,Male,4,Very Good,31,10GB+10mins Monthly Plan,4500,5,22500,80.23,No,,2,2487.13,276.991259386926,Very Young
CUST0028,Obinna Sanchez,Jan-25,19,Rivers,Mobile SIM Card,Male,4,Very Good,31,2.5GB 2-Day Plan,900,4,3600,178.59,No,,9,5536.29,20.04565955788184,Very Young
CUST0029,Boma Franco,Feb-25,44,Enugu,5G Broadband Router,Female,1,Poor,4,450GB 3-Month Broadband Plan,75000,18,1350000,166.2,No,,16,664.8,8074.162679425838,Middle
CUST0029,Boma Franco,Feb-25,44,Enugu,4G Router,Female,1,Poor,4,165GB Monthly Plan,35000,16,560000,179.49,No,,7,717.96,3102.664967588232,Middle
CUST0030,Alabo Davis,Mar-25,49,Imo,5G Broadband Router,Female,2,Fair,50,200GB Monthly Broadband Plan,25000,18,450000,64.28,Yes,Poor Network,10,3214.0,6893.382352941177,Middle
CUST0030,Alabo Davis,Mar-25,49,Imo,Broadband MiFi,Female,2,Fair,50,30GB Monthly Broadband Plan,9000,8,72000,28.11,Yes,Poor Network,15,1405.5,2473.3768464445207,Middle
CUST0030,Alabo Davis,Mar-25,49,Imo,4G Router,Female,2,Fair,50,165GB Monthly Plan,35000,7,245000,138.94,Yes,Poor Network,7,6947.0,1750.7503215663855,Middle
CUST0031,Kunle West,Mar-25,69,Kogi,Mobile SIM Card,Female,4,Very Good,35,2.5GB 2-Day Plan,900,19,17100,171.42,Yes,Better Offers from Competitors,9,5999.7,99.17642964853266,Senior
CUST0031,Kunle West,Feb-25,69,Kogi,5G Broadband Router,Female,4,Very Good,35,450GB 3-Month Broadband Plan,75000,12,900000,95.66,Yes,Better Offers from Competitors,16,3348.1,9310.98696461825,Senior
CUST0032,Maryam Terry,Feb-25,65,Kogi,Mobile SIM Card,Male,3,Good,32,7GB Monthly Plan,3500,13,45500,133.94,No,,20,4286.08,337.1868978805395,Mature
CUST0033,Amina Mosley,Feb-25,75,Borno,Broadband MiFi,Male,5,Excellent,59,60GB Monthly Broadband Plan,14500,15,217500,27.57,No,,18,1626.63,7612.880644032201,Senior
CUST0034,Shehu Anderson,Feb-25,22,Edo,5G Broadband Router,Female,4,Very Good,21,120GB Monthly Broadband Plan,24000,16,384000,167.06,No,,4,3508.26,2284.8982506247767,Very Young
CUST0034,Shehu Anderson,Feb-25,22,Edo,Mobile SIM Card,Female,4,Very Good,21,65GB Monthly Plan,16000,2,32000,149.93,No,,19,3148.53,212.01881666997946,Very Young
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,4G Router,Male,2,Fair,49,165GB Monthly Plan,35000,19,665000,134.06,Yes,Poor Network,7,6568.9400000000005,4923.737598104546,Middle
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,Broadband MiFi,Male,2,Fair,49,150GB FUP Monthly Unlimited,20000,9,180000,93.27,Yes,Poor Network,5,4570.23,1909.4091439482338,Middle
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,5G Broadband Router,Male,2,Fair,49,200GB Monthly Broadband Plan,25000,20,500000,33.97,Yes,Poor Network,10,1664.53,14297.969688304262,Middle
CUST0036,Ifeanyi Randall,Jan-25,36,Abia,Mobile SIM Card,Male,3,Good,38,500MB Daily Plan,350,8,2800,15.66,No,,17,595.08,168.0672268907563,Young
CUST0036,Ifeanyi Randall,Jan-25,36,Abia,5G Broadband Router,Male,3,Good,38,150GB FUP Monthly Unlimited,20000,10,200000,139.59,No,,5,5304.42,1422.576285653318,Young
CUST0037,Ifeanyi Ruiz,Mar-25,21,Ekiti,Broadband MiFi,Female,1,Poor,43,60GB Monthly Broadband Plan,14500,12,174000,21.56,No,,18,927.0799999999999,7712.765957446809,Very Young
CUST0037,Ifeanyi Ruiz,Mar-25,21,Ekiti,4G Router,Female,1,Poor,43,165GB Monthly Plan,35000,14,490000,141.61,No,,7,6089.2300000000005,3435.944183437346,Very Young
CUST0038,Shehu Randall,Feb-25,50,Adamawa,Broadband MiFi,Female,5,Excellent,30,300GB FUP Monthly Unlimited,30000,8,240000,176.39,Yes,Better Offers from Competitors,14,5291.7,1352.9511246406225,Middle
CUST0039,Zina Green,Mar-25,64,Bayelsa,5G Broadband Router,Male,2,Fair,32,120GB Monthly Broadband Plan,24000,9,216000,176.12,No,,4,5635.84,1219.5121951219512,Mature
CUST0039,Zina Green,Mar-25,64,Bayelsa,Mobile SIM Card,Male,2,Fair,32,65GB Monthly Plan,16000,7,112000,103.57,No,,19,3314.24,1071.05288323611,Mature
CUST0040,Chinedu Ruiz,Feb-25,46,Kogi,Mobile SIM Card,Female,4,Very Good,36,3.2GB 2-Day Plan,1000,13,13000,59.2,No,,13,2131.2000000000003,215.94684385382058,Middle
CUST0040,Chinedu Ruiz,Feb-25,46,Kogi,Broadband MiFi,Female,4,Very Good,36,150GB FUP Monthly Unlimited,20000,19,380000,61.59,No,,5,2217.2400000000002,6071.257389359323,Middle
CUST0041,Ejiro Mason,Mar-25,76,Bauchi,5G Broadband Router,Female,3,Good,28,60GB Monthly Broadband Plan,14500,7,101500,24.57,No,,18,687.96,3969.4955025420413,Senior
CUST0041,Ejiro Mason,Mar-25,76,Bauchi,Mobile SIM Card,Female,3,Good,28,25GB Monthly Plan,9000,18,162000,24.35,No,,12,681.8000000000001,6390.532544378698,Senior
CUST0042,Shehu Hoffman,Mar-25,40,Ondo,4G Router,Female,1,Poor,18,10GB+10mins Monthly Plan,4500,18,81000,60.8,No,,2,1094.3999999999999,1310.6796116504854,Young
CUST0042,Shehu Hoffman,Mar-25,40,Ondo,Mobile SIM Card,Female,1,Poor,18,1.5GB 2-Day Plan,600,2,1200,55.23,No,,0,994.14,21.34092121643251,Young
CUST0043,Abubakar Johnson,Jan-25,32,Yobe,5G Broadband Router,Male,5,Excellent,56,30GB Monthly Broadband Plan,9000,16,144000,50.87,Yes,Fast Data Consumption,15,2848.72,2776.171197223829,Young
CUST0043,Abubakar Johnson,Jan-25,32,Yobe,Broadband MiFi,Male,5,Excellent,56,30GB Monthly Broadband Plan,9000,13,117000,164.51,Yes,Fast Data Consumption,15,9212.56,706.9059271343122,Young
CUST0044,Grace Walker,Mar-25,25,Oyo,Mobile SIM Card,Male,1,Poor,10,500MB Daily Plan,350,13,4550,155.25,No,,17,1552.5,29.12,Very Young
CUST0045,Alabo Thompson,Jan-25,72,Abia,4G Router,Female,5,Excellent,20,10GB+10mins Monthly Plan,4500,3,13500,53.3,No,,2,1066.0,248.61878453038676,Senior
CUST0046,Amina Wright,Jan-25,46,Enugu,Mobile SIM Card,Male,4,Very Good,11,500MB Daily Plan,350,10,3500,57.98,No,,17,637.78,59.342149881315706,Middle
CUST0046,Amina Wright,Jan-25,46,Enugu,4G Router,Male,4,Very Good,11,165GB Monthly Plan,35000,8,280000,14.7,No,,7,161.7,17834.3949044586,Middle
CUST0046,Amina Wright,Jan-25,46,Enugu,Broadband MiFi,Male,4,Very Good,11,300GB FUP Monthly Unlimited,30000,19,570000,157.67,No,,14,1734.37,3592.361505010399,Middle
CUST0047,Bala Christian,Feb-25,70,Delta,Broadband MiFi,Male,3,Good,42,150GB FUP Monthly Unlimited,20000,20,400000,158.63,No,,5,6662.46,2505.794650128422,Senior
CUST0048,Abubakar Gentry,Mar-25,72,Delta,Mobile SIM Card,Female,4,Very Good,45,2.5GB 2-Day Plan,900,11,9900,177.94,No,,9,8007.3,55.32580753325137,Senior
CUST0048,Abubakar Gentry,Mar-25,72,Delta,4G Router,Female,4,Very Good,45,25GB Monthly Plan,9000,8,72000,5.66,No,,12,254.70000000000002,10810.81081081081,Senior
CUST0048,Abubakar Gentry,Mar-25,72,Delta,Broadband MiFi,Female,4,Very Good,45,120GB Monthly Broadband Plan,24000,1,24000,117.63,No,,4,5293.349999999999,202.309702436146,Senior
CUST0049,Zainab Taylor,Feb-25,21,Enugu,Mobile SIM Card,Female,3,Good,34,12.5GB Monthly Plan,5500,11,60500,69.92,Yes,Relocation,3,2377.28,853.0738860688099,Very Young
CUST0049,Zainab Taylor,Feb-25,21,Enugu,Broadband MiFi,Female,3,Good,34,300GB FUP Monthly Unlimited,30000,6,180000,134.19,Yes,Relocation,14,4562.46,1331.4594274724461,Very Young
CUST0050,Tega Stevens,Feb-25,68,Yobe,5G Broadband Router,Female,5,Excellent,43,150GB FUP Monthly Unlimited,20000,13,260000,194.05,Yes,Poor Network,5,8344.15,1332.9915406306075,Senior
CUST0050,Tega Stevens,Feb-25,68,Yobe,4G Router,Female,5,Excellent,43,65GB Monthly Plan,16000,18,288000,131.7,Yes,Poor Network,19,5663.099999999999,2170.3089675960814,Senior
CUST0051,Zina Carter,Mar-25,68,Oyo,Mobile SIM Card,Male,5,Excellent,34,1GB+1.5mins Daily Plan,500,10,5000,110.07,No,,8,3742.3799999999997,45.01665616278023,Senior
CUST0051,Zina Carter,Mar-25,68,Oyo,Broadband MiFi,Male,5,Excellent,34,60GB Monthly Broadband Plan,14500,16,232000,176.23,No,,18,5991.82,1309.0334593466118,Senior
CUST0051,Zina Carter,Mar-25,68,Oyo,5G Broadband Router,Male,5,Excellent,34,150GB FUP Monthly Unlimited,20000,20,400000,6.26,No,,5,212.84,55096.41873278237,Senior
CUST0052,Halima Johnston,Feb-25,36,Abia,Mobile SIM Card,Male,1,Poor,36,3.2GB 2-Day Plan,1000,5,5000,129.72,Yes,Better Offers from Competitors,13,4669.92,38.24969400244798,Young
CUST0053,Grace Christensen,Feb-25,53,Zamfara,Mobile SIM Card,Female,4,Very Good,27,500MB Daily Plan,350,17,5950,184.41,Yes,Relocation,17,4979.07,32.09104147564857,Middle
CUST0054,Amaka Potter,Mar-25,24,Akwa Ibom,Mobile SIM Card,Female,1,Poor,22,16.5GB+10mins Monthly Plan,6500,11,71500,97.13,Yes,Costly Data Plans,6,2136.8599999999997,728.6252929787017,Very Young
CUST0054,Amaka Potter,Mar-25,24,Akwa Ibom,Broadband MiFi,Female,1,Poor,22,120GB Monthly Broadband Plan,24000,13,312000,152.69,Yes,Costly Data Plans,4,3359.18,2030.0605114190905,Very Young
CUST0054,Amaka Potter,Mar-25,24,Akwa Ibom,Mobile SIM Card,Female,1,Poor,22,165GB Monthly Plan,35000,7,245000,186.6,Yes,Costly Data Plans,7,4105.2,1305.9701492537313,Very Young
CUST0055,Halima Smith,Mar-25,65,Osun,Mobile SIM Card,Female,4,Very Good,3,1.5GB 2-Day Plan,600,2,1200,99.32,No,,0,297.96,11.961722488038278,Mature
CUST0055,Halima Smith,Mar-25,65,Osun,5G Broadband Router,Female,4,Very Good,3,300GB FUP Monthly Unlimited,30000,19,570000,100.71,No,,14,302.13,5604.1687149739455,Mature
CUST0056,Tega Daniels,Feb-25,28,Nasarawa,Mobile SIM Card,Male,1,Poor,34,165GB Monthly Plan,35000,9,315000,156.41,No,,7,5317.94,2001.1435105774729,Very Young
CUST0056,Tega Daniels,Feb-25,28,Nasarawa,Broadband MiFi,Male,1,Poor,34,300GB FUP Monthly Unlimited,30000,13,390000,124.84,No,,14,4244.56,3099.1735537190084,Very Young
CUST0057,Chinedu Davis,Feb-25,58,Adamawa,5G Broadband Router,Female,5,Excellent,21,60GB Monthly Broadband Plan,14500,14,203000,149.48,Yes,Poor Network,18,3139.08,1349.016480595428,Mature
CUST0058,Ngozi Brown,Mar-25,28,Nasarawa,5G Broadband Router,Male,1,Poor,45,200GB Monthly Broadband Plan,25000,5,125000,75.28,Yes,Better Offers from Competitors,10,3387.6,1638.699528054536,Very Young
CUST0059,Halima Williams,Jan-25,68,Enugu,4G Router,Male,5,Excellent,12,10GB+10mins Monthly Plan,4500,9,40500,92.5,No,,2,1110.0,433.1550802139037,Senior
CUST0059,Halima Williams,Jan-25,68,Enugu,Mobile SIM Card,Male,5,Excellent,12,12.5GB Monthly Plan,5500,1,5500,51.44,No,,3,617.28,104.88176964149504,Senior
CUST0059,Halima Williams,Jan-25,68,Enugu,Broadband MiFi,Male,5,Excellent,12,60GB Monthly Broadband Plan,14500,18,261000,180.29,No,,18,2163.48,1439.6822770147278,Senior
CUST0060,Amina Payne,Mar-25,25,Nasarawa,5G Broadband Router,Female,4,Very Good,38,450GB 3-Month Broadband Plan,75000,4,300000,170.74,No,,16,6488.120000000001,1746.8265983463375,Very Young
CUST0060,Amina Payne,Mar-25,25,Nasarawa,Broadband MiFi,Female,4,Very Good,38,150GB FUP Monthly Unlimited,20000,12,240000,76.58,No,,5,2910.04,3093.580819798917,Very Young
CUST0061,Abubakar Ewing,Jan-25,53,Kano,Broadband MiFi,Female,5,Excellent,18,300GB FUP Monthly Unlimited,30000,8,240000,155.26,No,,14,2794.68,1535.9017022910534,Middle
CUST0061,Abubakar Ewing,Jan-25,53,Kano,5G Broadband Router,Female,5,Excellent,18,200GB Monthly Broadband Plan,25000,7,175000,44.19,No,,10,795.42,3872.538172161983,Middle
CUST0061,Abubakar Ewing,Jan-25,53,Kano,4G Router,Female,5,Excellent,18,25GB Monthly Plan,9000,5,45000,135.71,No,,12,2442.78,329.1639236339697,Middle
CUST0062,Ngozi Henson,Mar-25,21,Abia,Mobile SIM Card,Female,2,Fair,3,500MB Daily Plan,350,18,6300,26.87,Yes,Costly Data Plans,17,80.61,226.04951560818083,Very Young
CUST0062,Ngozi Henson,Mar-25,21,Abia,Broadband MiFi,Female,2,Fair,3,300GB FUP Monthly Unlimited,30000,9,270000,106.41,Yes,Costly Data Plans,14,319.23,2513.7324271483103,Very Young
CUST0063,Amina Flores,Mar-25,48,Taraba,4G Router,Female,1,Poor,48,10GB+10mins Monthly Plan,4500,13,58500,172.1,No,,2,8260.8,337.95493934142115,Middle
CUST0064,Ejiro Ford,Jan-25,27,Kebbi,5G Broadband Router,Male,4,Very Good,17,200GB Monthly Broadband Plan,25000,8,200000,22.12,No,,10,376.04,8650.519031141868,Very Young
CUST0064,Ejiro Ford,Jan-25,27,Kebbi,Mobile SIM Card,Male,4,Very Good,17,12.5GB Monthly Plan,5500,18,99000,5.49,No,,3,93.33,15254.237288135593,Very Young
CUST0064,Ejiro Ford,Jan-25,27,Kebbi,4G Router,Male,4,Very Good,17,25GB Monthly Plan,9000,8,72000,183.09,No,,12,3112.53,391.11304253354336,Very Young
CUST0065,Kunle Shaw,Feb-25,75,Abia,Mobile SIM Card,Female,1,Poor,8,3.2GB 2-Day Plan,1000,18,18000,47.34,No,,13,378.72,372.36243276789406,Senior
CUST0065,Kunle Shaw,Feb-25,75,Abia,Broadband MiFi,Female,1,Poor,8,150GB FUP Monthly Unlimited,20000,12,240000,78.03,No,,5,624.24,3036.821460204985,Senior
CUST0066,David Schneider,Jan-25,69,Plateau,Broadband MiFi,Female,4,Very Good,42,300GB FUP Monthly Unlimited,30000,15,450000,43.85,No,,14,1841.7,10033.444816053512,Senior
CUST0066,David Schneider,Jan-25,69,Plateau,5G Broadband Router,Female,4,Very Good,42,60GB Monthly Broadband Plan,14500,4,58000,171.16,No,,18,7188.72,336.89591078066917,Senior
CUST0067,Ejiro Smith,Feb-25,61,Oyo,Broadband MiFi,Female,1,Poor,18,150GB FUP Monthly Unlimited,20000,20,400000,128.52,No,,5,2313.36,3088.3261272390364,Mature
CUST0067,Ejiro Smith,Feb-25,61,Oyo,5G Broadband Router,Female,1,Poor,18,30GB Monthly Broadband Plan,9000,11,99000,10.59,No,,15,190.62,8541.846419327007,Mature
CUST0068,Halima Anderson,Feb-25,32,Ondo,5G Broadband Router,Male,5,Excellent,54,300GB FUP Monthly Unlimited,30000,20,600000,157.83,Yes,Better Offers from Competitors,14,8522.820000000002,3777.623874582887,Young
CUST0069,Tunde Oliver,Mar-25,51,Plateau,4G Router,Male,2,Fair,35,65GB Monthly Plan,16000,8,128000,71.97,Yes,Better Offers from Competitors,19,2518.95,1754.1455392627108,Middle
CUST0070,Ese Obrien,Feb-25,18,Enugu,4G Router,Female,4,Very Good,4,10GB+10mins Monthly Plan,4500,4,18000,102.89,No,,2,411.56,173.26017903551835,Very Young
CUST0071,Alabo Keith,Mar-25,80,Osun,Broadband MiFi,Male,4,Very Good,47,60GB Monthly Broadband Plan,14500,14,203000,169.54,No,,18,7968.379999999999,1190.3365779289318,Senior
CUST0072,Ngozi Hernandez,Jan-25,78,Nasarawa,4G Router,Male,3,Good,58,25GB Monthly Plan,9000,19,171000,125.05,No,,12,7252.9,1356.6045220150734,Senior
CUST0073,Ese Flowers,Feb-25,64,Bauchi,Mobile SIM Card,Female,1,Poor,30,165GB Monthly Plan,35000,8,280000,90.59,No,,7,2717.7000000000003,3057.1023037449504,Mature
CUST0074,Ibim Marshall,Jan-25,59,Sokoto,5G Broadband Router,Female,3,Good,27,1.5TB Yearly Broadband Plan,150000,3,450000,13.89,No,,1,375.03000000000003,30221.625251846875,Mature
CUST0074,Ibim Marshall,Jan-25,59,Sokoto,4G Router,Female,3,Good,27,65GB Monthly Plan,16000,12,192000,86.66,No,,19,2339.8199999999997,2190.2806297056813,Mature
CUST0074,Ibim Marshall,Jan-25,59,Sokoto,Broadband MiFi,Female,3,Good,27,150GB FUP Monthly Unlimited,20000,19,380000,111.5,No,,5,3010.5,3377.777777777778,Mature
CUST0075,Tega Medina,Feb-25,31,Kogi,5G Broadband Router,Female,1,Poor,56,60GB Monthly Broadband Plan,14500,16,232000,31.37,No,,18,1756.72,7167.1300586963225,Young
